repeat,offset,model,n_rows,n_positive,prevalence,roc_auc,average_precision,brier,prevalence_baseline_brier,brier_skill_score
0,14,random_forest,2036,29,0.0142436149312377,0.567273164613508,0.0455729078929515,0.0140171146604492,0.01406334885304279,0.0032875663596717564
0,14,xgboost,2036,29,0.0142436149312377,0.6025462605020359,0.0219689084983791,0.0140474388414115,0.01406334885304279,0.001131310315739542
0,15,logistic,2046,47,0.02297165200391,0.5604930124636787,0.028420161611351,0.0224502778064763,0.022498548096780546,0.0021454846817938744
0,15,random_forest,2046,47,0.02297165200391,0.545272636318159,0.0275495014194289,0.022545168779011,0.022498548096780546,-0.002072164036092783
0,15,xgboost,2046,47,0.02297165200391,0.4759294540887465,0.0242156613044158,0.0226208042993265,0.022498548096780546,-0.005433959650198439
0,16,logistic,2023,16,0.0079090459713297,0.4653089187842551,0.0181237216356764,0.0078955676156488,0.007851014759755508,-0.00567478947074096
0,16,random_forest,2023,16,0.0079090459713297,0.6402902341803687,0.0345624155879803,0.0078204688633806,0.007851014759755508,0.003890694045244558
0,16,xgboost,2023,16,0.0079090459713297,0.4193136522172397,0.0196662529656724,0.0078519567863497,0.007851014759755508,-0.00011998787711120507
0,17,logistic,2037,37,0.0181639666175748,0.445918918918919,0.0165747914760965,0.0178762085198009,0.017849564024634588,-0.0014927252637397803
0,17,random_forest,2037,37,0.0181639666175748,0.5392837837837838,0.0234112779659375,0.0178348983648992,0.017849564024634588,0.0008216256551223378
0,17,xgboost,2037,37,0.0181639666175748,0.4534324324324323,0.0195532645171392,0.0178649273979618,0.017849564024634588,-0.0008607142060170769
0,18,logistic,2034,24,0.0117994100294985,0.4805659203980099,0.0109841706367143,0.0116956922156345,0.011669808427155624,-0.002218013143955755
0,18,random_forest,2034,24,0.0117994100294985,0.4311567164179104,0.0101156720945245,0.0116878843854355,0.011669808427155624,-0.0015489507298007688
0,18,xgboost,2034,24,0.0117994100294985,0.4621165008291874,0.0123824477857788,0.0116712812181317,0.011669808427155624,-0.00012620524023776447
0,19,logistic,2027,24,0.0118401578687715,0.3848602096854718,0.0092101052131567,0.0117362237002937,0.01171179825941227,-0.002085541463438423
0,19,random_forest,2027,24,0.0118401578687715,0.454162506240639,0.0118220043487744,0.0117183385123122,0.01171179825941227,-0.0005584328516479165
0,19,xgboost,2027,24,0.0118401578687715,0.4394658012980529,0.0102680104102563,0.0117221656435054,0.01171179825941227,-0.0008852085617849781
0,20,logistic,2020,21,0.0103960396039603,0.3951737773648729,0.0088249128865519,0.0103237098771044,0.010299265457290614,-0.0023734139017150824
0,20,random_forest,2020,21,0.0103960396039603,0.399628385621382,0.0087239356317973,0.010309764082283,0.010299265457290614,-0.0010193566750875682
0,20,xgboost,2020,21,0.0103960396039603,0.3397532099383025,0.0075988738209432,0.0103320160521342,0.010299265457290614,-0.0031798961760327593
1,0,logistic,2036,30,0.0147347740667976,0.3691758059155866,0.0112253042833576,0.014576219915279,0.01454243800816584,-0.0023229878713726393
1,0,random_forest,2036,30,0.0147347740667976,0.3650132934529744,0.0110165346544243,0.0145503820840687,0.01454243800816584,-0.0005462685072750162
1,0,xgboost,2036,30,0.0147347740667976,0.3609587902957793,0.0117804402986634,0.0145766610330567,0.01454243800816584,-0.0023533210092860912
1,1,logistic,2043,47,0.0230053842388644,0.5104677439986356,0.0292806763318235,0.0224828173492135,0.02253117191932748,0.0021461187321775155
1,1,random_forest,2043,47,0.0230053842388644,0.464972498187865,0.0220851569025271,0.02251570348106,0.02253117191932748,0.0006865350068281373
1,1,xgboost,2043,47,0.0230053842388644,0.443557327420799,0.019987709416586,0.0225412738585502,0.02253117191932748,-0.00044835391869035846
1,2,logistic,2033,22,0.0108214461387112,0.6609556529994123,0.0190765901903202,0.0107788977187626,0.010706476945081464,-0.006764202085580262
