model,repeat_a,fold_a,repeat_b,fold_b,spearman_rank_correlation,top10_overlap,top10_jaccard
xgboost,0,0,0,2,0.36687193403611323,7,0.5384615384615384
xgboost,0,0,0,3,0.3443273144765682,4,0.25
xgboost,0,0,0,4,0.48744389938419797,5,0.3333333333333333
xgboost,0,0,1,0,0.4300803673938003,7,0.5384615384615384
xgboost,0,0,1,1,0.4368437532616638,5,0.3333333333333333
xgboost,0,0,1,2,0.224966078697422,5,0.3333333333333333
xgboost,0,0,1,3,0.575743659325749,9,0.8181818181818182
xgboost,0,0,1,4,0.5380857948022127,7,0.5384615384615384
xgboost,0,0,2,0,0.46832272205406544,5,0.3333333333333333
xgboost,0,0,2,1,0.4350485335559963,7,0.5384615384615384
xgboost,0,0,2,2,0.6227951153324288,7,0.5384615384615384
xgboost,0,0,2,3,0.4797620290157604,7,0.5384615384615384
xgboost,0,0,2,4,0.3808996973176078,5,0.3333333333333333
xgboost,0,1,0,2,0.49687924016282237,5,0.3333333333333333
xgboost,0,1,0,3,0.27193403611314065,5,0.3333333333333333
xgboost,0,1,0,4,0.26170545872038414,4,0.25
xgboost,0,1,1,0,0.5062310823504854,7,0.5384615384615384
xgboost,0,1,1,1,0.5824652958981318,5,0.3333333333333333
xgboost,0,1,1,2,0.30913265838638976,3,0.17647058823529413
xgboost,0,1,1,3,0.4132554013151029,5,0.3333333333333333
xgboost,0,1,1,4,0.44924329401941354,7,0.5384615384615384
xgboost,0,1,2,0,0.38774658177643256,3,0.17647058823529413
xgboost,0,1,2,1,0.6053439098215219,7,0.5384615384615384
xgboost,0,1,2,2,0.36307274814737506,5,0.3333333333333333
xgboost,0,1,2,3,0.5370003131197162,6,0.42857142857142855
xgboost,0,1,2,4,0.409664961903768,7,0.5384615384615384
xgboost,0,2,0,3,0.5240162822252376,3,0.17647058823529413
xgboost,0,2,0,4,0.2766934557979335,4,0.25
xgboost,0,2,1,0,0.44840830810980076,6,0.42857142857142855
xgboost,0,2,1,1,0.41146018160943537,4,0.25
xgboost,0,2,1,2,0.47880179521970573,5,0.3333333333333333
xgboost,0,2,1,3,0.48260098110844396,7,0.5384615384615384
xgboost,0,2,1,4,0.45496294750026095,6,0.42857142857142855
xgboost,0,2,2,0,0.3152698048220437,4,0.25
xgboost,0,2,2,1,0.3204467174616429,5,0.3333333333333333
xgboost,0,2,2,2,0.4970462373447449,7,0.5384615384615384
xgboost,0,2,2,3,0.553783529902933,6,0.42857142857142855
xgboost,0,2,2,4,0.476923076923077,4,0.25
xgboost,0,3,0,4,0.4154681139755767,3,0.17647058823529413
xgboost,0,3,1,0,0.39647218453188604,6,0.42857142857142855
xgboost,0,3,1,1,0.302285773927565,4,0.25
xgboost,0,3,1,2,0.6614967122429809,4,0.25
xgboost,0,3,1,3,0.34699926938732917,4,0.25
xgboost,0,3,1,4,0.4155098632710574,5,0.3333333333333333
xgboost,0,3,2,0,0.4166788435445153,3,0.17647058823529413
xgboost,0,3,2,1,0.2596179939463522,5,0.3333333333333333
xgboost,0,3,2,2,0.3708381171067739,4,0.25
xgboost,0,3,2,3,0.3817346832272206,5,0.3333333333333333
xgboost,0,3,2,4,0.347249765160213,5,0.3333333333333333
xgboost,0,4,1,0,0.44995303204258436,5,0.3333333333333333
xgboost,0,4,1,1,0.37062937062937074,6,0.42857142857142855
xgboost,0,4,1,2,0.45742615593361874,5,0.3333333333333333
xgboost,0,4,1,3,0.5027241415301118,6,0.42857142857142855
xgboost,0,4,1,4,0.4317920885085065,6,0.42857142857142855
xgboost,0,4,2,0,0.5822565494207287,8,0.6666666666666666
xgboost,0,4,2,1,0.421104268865463,5,0.3333333333333333
xgboost,0,4,2,2,0.38194342970462375,4,0.25
xgboost,0,4,2,3,0.3176495146644401,7,0.5384615384615384
xgboost,0,4,2,4,0.3874543367080681,5,0.3333333333333333
xgboost,1,0,1,1,0.38094144661308843,6,0.42857142857142855
xgboost,1,0,1,2,0.48335246842709534,4,0.25
xgboost,1,0,1,3,0.5177956371986224,7,0.5384615384615384
xgboost,1,0,1,4,0.37488779876839584,6,0.42857142857142855
xgboost,1,0,2,0,0.40624151967435557,4,0.25
xgboost,1,0,2,1,0.478551299446822,8,0.6666666666666666
xgboost,1,0,2,2,0.44477611940298517,6,0.42857142857142855
xgboost,1,0,2,3,0.4923703162509133,8,0.6666666666666666
xgboost,1,0,2,4,0.41859931113662463,6,0.42857142857142855
xgboost,1,1,1,2,0.373718818494938,5,0.3333333333333333
xgboost,1,1,1,3,0.49771422607243515,5,0.3333333333333333
xgboost,1,1,1,4,0.45888738127544115,5,0.3333333333333333
xgboost,1,1,2,0,0.3012837908360297,6,0.42857142857142855
xgboost,1,1,2,1,0.571568729777685,6,0.42857142857142855
xgboost,1,1,2,2,0.4297463730299552,6,0.42857142857142855
